1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
ieeexplore.ieee.org,107.161.86.87,-,-,[01/Dec/2017:00:00:36,-0500],GET /Xplore/home.jsp HTTP/1.1,200,52273,-,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0),-,-,-,-,-,-,-,27033,-,-,-,-,-,-,-,-
ieeexplore.ieee.org,132.174.250.76,-,81228,[01/Dec/2017:00:00:35,-0500],GET /ielx7/4082359/7812815/07812828.pdf?tp=&arnumber=7812828&isnumber=7812815 HTTP/1.1,206,729498,http://ieeexplore.ieee.org/ielx7/4082359/7812815/07812828.pdf?tp=&arnumber=7812828&isnumber=7812815,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36",Cx2FqhYoiBbiipaKa2bx2FPEFc7qi2Zbx2Fp69*AshdZnR6DD3Ky4Igasx2FNfQx3Dx3D-18x2dkivlVDVFNiseA24DqhpckAx3Dx3DvgUSJg6Mx2B8qCM9IIrViQrQx3Dx3D-74WfbdZD876j9q2bPIopZAx3Dx3D-hSx2Fy2PwxxNx2B4GkiZY7zyx2B7gx3Dx3D,-,-,-,-,-,-,617399,-,-,-,-,-,-,-,-
ieeexplore.ieee.org,14.139.226.10,-,12786,[01/Dec/2017:00:00:35,-0500],GET /ielx7/6488907/6811169/06766209.pdf?tp=&arnumber=6766209&isnumber=6811169 HTTP/1.1,200,1236966,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6766209,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36",FVIMyKBE0x2FdBrRVDJ39KEeYRAk4O20Gj*rt1Rn8XSnvW8bSlr9Ab4YAx3Dx3D-18x2dEg6cSZ6xxadMILyGpmx2Fh9wgx3Dx3DcjMoox2FkmnGx2B1x2FpeXKR0b3Qx3Dx3D-seCuihlon4Yn6ravae9KzQx3Dx3D-x2BoJmAJK1Z3DbmTWzFvGVAAx3Dx3D,-,254,12786,0,12786,vJpg0PhE0UX-amdFneP,998007,-,-,-,-,-,-,NA,50a32e89e2275af5ed9935e44c5458d5
ieeexplore.ieee.org,121.49.83.86,-,10069,[01/Dec/2017:00:00:36,-0500],GET /ielx7/79/8103076/08103129.pdf?tp=&arnumber=8103129&isnumber=8103076 HTTP/1.1,206,567169,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8103129,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36",4PsqssNUSx2BKq4Uxx4UJT3cgx2BWJx2BWLwhdU*W6m3lEU8KnEUUlqx2BE9PGAgx3Dx3D-18x2drHHVoWKX1dYa4tn0JGiq6Ax3Dx3DeobdElrLdUWx2BlybvblbtMAx3Dx3D-seCuihlon4Yn6ravae9KzQx3Dx3D-x2BoJmAJK1Z3DbmTWzFvGVAAx3Dx3D,-,-,-,-,-,-,255644,-,-,-,-,-,-,-,57844f61746f22334dbc5d711e5c970a
ieeexplore.ieee.org,202.226.91.244,-,304311,[01/Dec/2017:00:00:33,-0500],POST /rest/search HTTP/1.1,200,89711,http://ieeexplore.ieee.org/search/searchresult.jsp?newsearch=true&queryText=waveguide%20si%20mode,Mozilla/5.0 (Windows NT 6.1; Trident/7.0; rv:11.0) like Gecko,PKZbuzhRThPpryXTRnsUwSAXx2FAMzx2F94l*kk5wGE4U5bg12pQszhNxxDAx3Dx3D-18x2dV7x2B0mlV9RLgPrQKQ8eH2vwx3Dx3D7cYd84giPyRN8du7IfS3vgx3Dx3D-gdpPDF74rjhVhbSezWo23Ax3Dx3D-hAF6CbSbyWBiTg9Gw04M9Ax3Dx3D,-,-,-,-,-,l8s0EypXqLw-amgwZRq,2573777,-,-,-,-,-,-,-,86c9e56298ff22aea673e9b418ec2b97
-,2620:104:c000:8034::11,-,-,[01/Dec/2017:00:00:36,-0500],GET /Xplore/guesthome.jsp?reload=true,200,16312,-,-,-,-,-,-,-,-,-,29723,-,-,-,-,-,-,-,-
ieeexplore.ieee.org,14.139.153.182,-,1365422,[01/Dec/2017:00:00:36,-0500],GET /search/searchresult.jsp?queryText=Voltage%20stability%20index%20L&pageNumber=9&newsearch=true HTTP/1.1,200,35783,http://ieeexplore.ieee.org/document/7530331/,"Mozilla/5.0 (Linux; Android 6.0.1; Lenovo K33a42 Build/MMB29M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.125 Mobile Safari/537.36",ivbdlJdVjCWRetkN9XqouALfD3fYAM8W*ZYVx2BNN9g8NsNerny4bqPhwx3Dx3D-18x2dB8lLffEHnShTPTpUU0DGKQx3Dx3Dmaw7IhFKQcdTxxzsiRZnl7wx3Dx3D-74WfbdZD876j9q2bPIopZAx3Dx3D-hSx2Fy2PwxxNx2B4GkiZY7zyx2B7gx3Dx3D,-,-,-,-,-,UXOp1pQesPL-amgtqEZ,116242,-,-,-,-,-,-,-,b06344e5b9e19aa7f8264c997216f76f
ieeexplore.ieee.org,103.205.152.154,-,-,[01/Dec/2017:00:00:36,-0500],GET /stamp/banner.jsp HTTP/1.1,302,313,-,Mozilla/4.0 (compatible;),-,-,-,-,-,-,-,132826,-,-,-,-,-,-,-,-
ieeexplore.ieee.org,203.110.242.7,-,12769,[01/Dec/2017:00:00:36,-0500],GET /stamp/banner.jsp HTTP/1.1,200,2567,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7513437,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36",4PsqssNUSx2BJL6pcnHuD8k4KFyxx03mAU5*M3ruBkaeIElQAx2FOHx2BXDOpwx3Dx3D-18x2dJkoSx2BIo36ZB6ZPQtUZbfUAx3Dx3Dfsc85JnFbE09nAb3t32tCQx3Dx3D-gdpPDF74rjhVhbSezWo23Ax3Dx3D-hAF6CbSbyWBiTg9Gw04M9Ax3Dx3D,-,-,-,-,-,xeuy36nuC5V-amQPCE5,92857,-,-,-,-,-,-,-,ccca94177327d60f41eab3bacd14154a
ieeexplore.ieee.org,182.75.135.138,-,72287,[01/Dec/2017:00:00:36,-0500],GET /rest/document/6827696/toc HTTP/1.1,200,2439,http://ieeexplore.ieee.org/abstract/document/6827696/,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",WzU2tx2Bz7K1kavgDRUUAHtqRLSrn1sPpx2F*N8TSIkPA2UzNnktMq2FJQwx3Dx3D-18x2ddJ5MGWcbwDUVa0lgrsEC0Qx3Dx3DETzCx2FE7S4x2Flx2FcFkAyRvN4Qx3Dx3D-seCuihlon4Yn6ravae9KzQx3Dx3D-x2BoJmAJK1Z3DbmTWzFvGVAAx3Dx3D,-,-,-,-,-,oXGKdBvk42U-aHIsG8A,192207,-,-,-,-,-,-,-,1208184f9c5d674be67e97907ee5166b
